iter	Passed	Remaining
0	60	30012
1	176	44055
2	260	43190
3	319	39598
4	385	38141
5	450	37099
6	526	37112
7	588	36207
8	640	34949
9	696	34141
10	765	34016
11	828	33697
12	867	32502
13	927	32207
14	977	31598
15	1017	30787
16	1053	29922
17	1099	29444
18	1138	28820
19	1179	28302
20	1219	27825
21	1268	27563
22	1309	27150
23	1348	26740
24	1387	26363
25	1431	26088
26	1463	25630
27	1501	25313
28	1543	25075
29	1583	24803
30	1623	24566
31	1653	24183
32	1693	23958
33	1735	23783
34	1773	23561
35	1819	23449
36	1855	23221
37	1896	23059
38	1932	22842
39	1962	22563
40	2000	22399
41	2044	22289
42	2083	22141
43	2130	22078
44	2170	21949
45	2212	21834
46	2255	21736
47	2295	21617
48	2339	21533
49	2372	21353
50	2408	21203
51	2453	21135
52	2492	21023
53	2532	20918
54	2576	20847
55	2616	20741
56	2658	20662
57	2694	20534
58	2734	20435
59	2771	20323
60	2817	20278
61	2854	20164
62	2895	20081
63	2928	19950
64	2973	19897
65	3010	19796
66	3048	19699
67	3092	19646
68	3134	19581
69	3180	19539
70	3217	19441
71	3258	19367
72	3294	19268
73	3330	19173
74	3372	19111
75	3411	19031
76	3453	18973
77	3490	18883
78	3530	18812
79	3574	18767
80	3613	18694
81	3654	18629
82	3692	18552
83	3734	18493
84	3779	18454
85	3815	18368
86	3854	18298
87	3894	18232
88	3928	18141
89	3965	18063
90	4001	17986
91	4038	17909
92	4077	17843
93	4119	17791
94	4157	17725
95	4202	17685
96	4236	17601
97	4280	17559
98	4323	17511
99	4364	17459
100	4407	17410
101	4443	17337
102	4491	17310
103	4532	17259
104	4574	17208
105	4611	17140
106	4649	17077
107	4691	17027
108	4730	16968
109	4772	16920
110	4812	16864
111	4851	16807
112	4890	16750
113	4920	16659
114	4962	16615
115	5005	16571
116	5042	16505
117	5085	16464
118	5120	16393
119	5160	16341
120	5206	16307
121	5241	16241
122	5276	16172
123	5313	16110
124	5355	16066
125	5392	16006
126	5429	15946
127	5474	15909
128	5517	15867
129	5550	15797
130	5592	15751
131	5635	15711
132	5677	15666
133	5721	15627
134	5760	15574
135	5792	15503
136	5833	15456
137	5884	15435
138	5924	15386
139	5963	15335
140	6002	15282
141	6034	15213
142	6076	15169
143	6108	15101
144	6151	15059
145	6183	14991
146	6219	14935
147	6258	14884
148	6300	14843
149	6339	14792
150	6380	14747
151	6420	14699
152	6463	14658
153	6501	14607
154	6543	14563
155	6587	14527
156	6623	14470
157	6666	14430
158	6710	14390
159	6751	14347
160	6793	14305
161	6836	14264
162	6879	14222
163	6917	14172
164	6962	14135
165	6997	14079
166	7036	14031
167	7068	13968
168	7110	13926
169	7151	13882
170	7192	13838
171	7234	13796
172	7275	13751
173	7311	13698
174	7352	13654
175	7384	13594
176	7424	13547
177	7541	13641
178	7585	13602
179	7623	13553
180	7661	13502
181	7699	13453
182	7734	13397
183	7772	13348
184	7803	13287
185	7842	13239
186	7880	13190
187	7912	13131
188	7952	13085
189	7991	13038
190	8019	12974
191	8051	12916
192	8087	12865
193	8123	12813
194	8167	12774
195	8217	12746
196	8257	12700
197	8294	12651
198	8333	12605
199	8374	12562
200	8418	12522
201	8456	12474
202	8492	12425
203	8529	12375
204	8571	12334
205	8617	12298
206	8657	12254
207	8699	12212
208	8732	12158
209	8770	12111
210	8817	12076
211	8868	12047
212	8914	12011
213	8949	11960
214	8988	11914
215	9028	11871
216	9065	11823
217	9113	11789
218	9153	11744
219	9196	11704
220	9237	11662
221	9279	11620
222	9322	11580
223	9366	11540
224	9405	11495
225	9454	11462
226	9494	11418
227	9538	11378
228	9582	11339
229	9617	11289
230	9654	11242
231	9693	11197
232	9738	11159
233	9773	11110
234	9817	11071
235	9865	11036
236	9902	10988
237	9946	10949
238	9984	10904
239	10020	10855
240	10064	10816
241	10100	10768
242	10140	10724
243	10174	10674
244	10212	10629
245	10258	10591
246	10295	10546
247	10335	10502
248	10375	10458
249	10423	10423
250	10466	10383
251	10499	10332
252	10540	10290
253	10583	10250
254	10673	10254
255	10711	10209
256	10749	10163
257	10791	10121
258	10823	10071
259	10861	10026
260	10905	9986
261	10937	9935
262	10969	9884
263	11009	9841
264	11036	9786
265	11075	9742
266	11117	9701
267	11155	9656
268	11188	9608
269	11222	9560
270	11261	9516
271	11306	9477
272	11338	9428
273	11381	9387
274	11418	9342
275	11456	9298
276	11489	9249
277	11530	9208
278	11568	9163
279	11609	9121
280	11645	9076
281	11684	9032
282	11730	8994
283	11766	8949
284	11809	8908
285	11850	8867
286	11885	8821
287	11932	8783
288	11965	8735
289	12003	8692
290	12046	8651
291	12081	8605
292	12119	8562
293	12160	8520
294	12198	8476
295	12229	8428
296	12259	8379
297	12299	8337
298	12383	8324
299	12436	8290
300	12475	8247
301	12511	8203
302	12549	8159
303	12584	8113
304	12675	8104
305	12717	8062
306	12751	8016
307	12788	7971
308	12820	7924
309	12861	7882
310	12896	7837
311	12936	7795
312	12979	7754
313	13014	7709
314	13061	7670
315	13097	7626
316	13142	7586
317	13176	7541
318	13209	7495
319	13256	7456
320	13288	7409
321	13322	7364
322	13355	7318
323	13392	7274
324	13420	7226
325	13457	7182
326	13480	7131
327	13516	7088
328	13552	7044
329	13589	7000
330	13625	6956
331	13662	6913
332	13693	6867
333	13732	6824
334	13773	6784
335	13809	6740
336	13845	6696
337	13880	6652
338	13918	6610
339	13957	6568
340	13993	6524
341	14035	6484
342	14072	6441
343	14108	6398
344	14144	6354
345	14179	6311
346	14210	6265
347	14249	6223
348	14285	6180
349	14321	6137
350	14360	6096
351	14397	6053
352	14432	6010
353	14472	5969
354	14512	5927
355	14546	5883
356	14587	5843
357	14623	5800
358	14660	5758
359	14701	5717
360	14738	5674
361	14780	5634
362	14817	5592
363	14871	5556
364	14913	5516
365	14941	5470
366	14981	5429
367	15020	5387
368	15057	5345
369	15100	5305
370	15136	5263
371	15176	5222
372	15226	5184
373	15301	5155
374	15331	5110
375	15371	5069
376	15414	5029
377	15460	4989
378	15503	4949
379	15543	4908
380	15581	4866
381	15627	4827
382	15661	4784
383	15699	4742
384	15744	4703
385	15794	4664
386	15840	4625
387	15879	4583
388	15924	4544
389	15976	4506
390	16035	4470
391	16094	4434
392	16136	4393
393	16177	4352
394	16208	4308
395	16253	4268
396	16291	4226
397	16350	4190
398	16387	4148
399	16417	4104
400	16458	4063
401	16498	4021
402	16530	3978
403	16579	3939
404	16661	3908
405	16698	3866
406	16737	3824
407	16780	3783
408	16827	3743
409	16865	3702
410	16904	3660
411	16943	3618
412	16990	3579
413	17025	3536
414	17067	3495
415	17105	3454
416	17142	3412
417	17189	3372
418	17226	3330
419	17266	3288
420	17304	3247
421	17340	3205
422	17388	3165
423	17422	3122
424	17465	3082
425	17509	3041
426	17548	3000
427	17589	2958
428	17631	2918
429	17671	2876
430	17710	2835
431	17745	2793
432	17776	2750
433	17818	2709
434	17855	2668
435	17896	2627
436	17939	2586
437	17979	2545
438	18012	2502
439	18046	2460
440	18088	2419
441	18131	2379
442	18167	2337
443	18211	2296
444	18251	2255
445	18290	2214
446	18335	2174
447	18380	2133
448	18416	2091
449	18458	2050
450	18501	2010
451	18542	1969
452	18580	1927
453	18618	1886
454	18662	1845
455	18700	1804
456	18744	1763
457	18780	1722
458	18825	1681
459	18866	1640
460	18905	1599
461	18944	1558
462	18990	1517
463	19028	1476
464	19072	1435
465	19110	1394
466	19154	1353
467	19193	1312
468	19232	1271
469	19274	1230
470	19310	1188
471	19353	1148
472	19395	1107
473	19437	1066
474	19479	1025
475	19515	983
476	19558	943
477	19598	902
478	19643	861
479	19685	820
480	19722	779
481	19765	738
482	19804	697
483	19837	655
484	19879	614
485	19915	573
486	19956	532
487	19992	491
488	20025	450
489	20068	409
490	20120	368
491	20157	327
492	20195	286
493	20233	245
494	20268	204
495	20307	163
496	20348	122
497	20389	81
498	20433	40
499	20466	0
